station1,station2,ZZ,TT,gcm,az,baz
BYLI,GRDB,TRUE,TRUE,20107.131,165.75451843567933,345.84484887736375
BYLI,HFNS,TRUE,TRUE,25281.913,239.77194680635517,59.372193267361794
BYLI,KATL,TRUE,TRUE,19799.86,179.2523984798294,359.2571143635347
BYLI,KEFC,TRUE,TRUE,21097.242,276.10707705775553,95.72111970272597
BYLI,KEFE,TRUE,TRUE,17292.509,276.97761484744285,96.66182737995182
BYLI,KEFN,TRUE,TRUE,21441.554,284.1296975125181,103.74672616585315
BYLI,KEFS,TRUE,TRUE,21575.611,251.5385103906349,71.16320149777917
BYLI,KEFW,TRUE,TRUE,22385.352,266.71362021305566,86.30295927254537
BYLI,KHR,TRUE,TRUE,27049.402,219.72578954141417,39.41033187453655
BYLI,KUG,TRUE,TRUE,5290.776,101.84434269303384,281.9395007935545
BYLI,NJAR,TRUE,TRUE,12039.58,243.7291430276635,63.53104748325924
BYLI,NVOG,TRUE,TRUE,5007.7,246.48970685608884,66.40534753874715
BYLI,SECO,TRUE,TRUE,22686.982,147.84731859346198,328.0677573119922
BYLI,STAE,TRUE,TRUE,28700.225,230.30050212826035,49.89720493535822
BYLI,SUHS,TRUE,TRUE,22594.995,213.23195652577306,33.00584699004264
BYLI,SVAT,TRUE,TRUE,19317.386,214.08197769150016,33.884106543096976
BYLI,VOGS,TRUE,TRUE,15115.228,232.94664099980287,52.72559608162024
GRDB,HFNS,TRUE,TRUE,27632.019,284.2526978699281,103.76295662414277
GRDB,KATL,TRUE,TRUE,4699.74,266.31643363636726,86.23088424875326
GRDB,KEFC,TRUE,TRUE,33829.906,310.0633460702584,129.58733720365908
GRDB,KEFE,TRUE,TRUE,30904.106,314.40486901288017,133.99897841581594
GRDB,KEFN,TRUE,TRUE,35690.574,313.93493333342735,133.4618975762082
GRDB,KEFS,TRUE,TRUE,28390.412,296.5649274749289,116.09959156717088
GRDB,KEFW,TRUE,TRUE,32810.616,303.79177323348546,123.29109176248701
GRDB,KHR,TRUE,TRUE,22274.378,266.7051876617592,86.29970803351475
GRDB,KUG,TRUE,TRUE,18404.33,0.8071135278759212,180.81187418088004
GRDB,NJAR,TRUE,TRUE,21174.864,312.0581766884233,131.76991675341299
GRDB,NVOG,TRUE,TRUE,19923.649,331.4817490971155,151.30712903309094
GRDB,SECO,TRUE,TRUE,7131.135,87.82973121580571,267.9597411237597
GRDB,STAE,TRUE,TRUE,27054.679,272.5395476489779,92.04628544906663
GRDB,SUHS,TRUE,TRUE,17340.613,272.0369073303352,91.72070218433453
GRDB,SVAT,TRUE,TRUE,16154.307,282.56494695568927,102.27694884152731
GRDB,VOGS,TRUE,TRUE,19928.338,301.484076978737,121.17289810132641
HFNS,KATL,TRUE,TRUE,23205.866,107.33876481403966,287.7429286241731
HFNS,KEFC,TRUE,TRUE,14997.515,2.913410803912767,182.92742862479764
HFNS,KEFE,TRUE,TRUE,15549.647,17.115576490861184,197.1997279603536
HFNS,KEFN,TRUE,TRUE,17992.98,2.950177744289919,182.96722572763338
HFNS,KEFS,TRUE,TRUE,6054.84,12.765297779558757,192.78982043704775
HFNS,KEFW,TRUE,TRUE,11455.805,357.0774014907846,177.0666739206141
HFNS,KHR,TRUE,TRUE,9272.784,150.16786081111593,330.2519922848978
HFNS,KUG,TRUE,TRUE,29423.605,66.29247250380102,246.78732128488465
HFNS,NJAR,TRUE,TRUE,13297.02,55.789725282122234,235.99139800850452
HFNS,NVOG,TRUE,TRUE,20317.04,57.71997384588009,238.03537845402343
HFNS,SECO,TRUE,TRUE,34531.117,100.41572741360216,281.0355176389307
HFNS,STAE,TRUE,TRUE,5609.616,182.03005215405523,2.0264247614045985
HFNS,SUHS,TRUE,TRUE,11296.523,122.71673298586794,302.89019798014397
HFNS,SVAT,TRUE,TRUE,11494.571,106.13523113369514,286.3369650450053
HFNS,VOGS,TRUE,TRUE,10429.662,69.28986361379671,249.46854038441882
KATL,KEFC,TRUE,TRUE,30607.814,316.07254153800505,135.682159161909
KATL,KEFE,TRUE,TRUE,27984.173,321.49881540150443,141.17854999500597
KATL,KEFN,TRUE,TRUE,32707.406,319.94218598180447,139.55478650806273
KATL,KEFS,TRUE,TRUE,24445.461,302.0370505583581,121.6573111775722
KATL,KEFW,TRUE,TRUE,29221.069,309.32181748395374,128.90675119854046
KATL,KHR,TRUE,TRUE,17574.776,266.7235953940074,86.4036656515193
KATL,KUG,TRUE,TRUE,19348.166,14.73546218247993,194.82583269854067
KATL,NJAR,TRUE,TRUE,18208.754,322.62520784236204,142.4225472812718
KATL,NVOG,TRUE,TRUE,18449.52,344.76259456744043,164.67358348759154
KATL,SECO,TRUE,TRUE,11829.887,87.14304299221831,267.3586016670482
KATL,STAE,TRUE,TRUE,22388.43,273.7578817708804,93.35017862513929
KATL,SUHS,TRUE,TRUE,12672.939,274.0697420567552,93.83909199542344
KATL,SVAT,TRUE,TRUE,11716.318,288.92368062114576,108.72124679301234
KATL,VOGS,TRUE,TRUE,16312.601,310.95034343342434,130.7247517763532
KEFC,KEFE,TRUE,TRUE,3815.784,91.77301753648534,271.843191311262
KEFC,KEFN,TRUE,TRUE,2995.484,3.1482769246025772,183.15130720850314
KEFC,KEFS,TRUE,TRUE,9091.185,176.3840213511014,356.39453708431205
KEFC,KEFW,TRUE,TRUE,3784.795,200.85226967366773,20.82751203080258
KEFC,KHR,TRUE,TRUE,23341.937,170.51887224451045,350.5890386534737
KEFC,KUG,TRUE,TRUE,26366.82,96.87051882317274,277.35162645321947
KEFC,NJAR,TRUE,TRUE,12689.299,126.25732899936324,306.4450954186447
KEFC,NVOG,TRUE,TRUE,16925.731,104.12889805270038,284.430459473443
KEFC,SECO,TRUE,TRUE,39402.499,122.60008070006307,303.20621319799136
KEFC,STAE,TRUE,TRUE,20606.646,182.68696595573775,2.6693216518380893
KEFC,SUHS,TRUE,TRUE,22824.289,157.49329062481038,337.6528409009267
KEFC,SVAT,TRUE,TRUE,20878.435,150.5187796083666,330.70661339479807
KEFC,VOGS,TRUE,TRUE,14434.02,141.4731543115083,321.6379137677768
KEFE,KEFN,TRUE,TRUE,4794.213,310.49841628739205,130.43126478279981
KEFE,KEFS,TRUE,TRUE,9523.333,199.96400775962272,19.904373939034485
KEFE,KEFW,TRUE,TRUE,6190.827,236.54919623667294,56.454274390945244
KEFE,KHR,TRUE,TRUE,22905.043,179.99261200387704,359.9926659017766
KEFE,KUG,TRUE,TRUE,22568.675,97.80144065587004,278.2123807803566
KEFE,NJAR,TRUE,TRUE,9785.486,139.08223725897716,319.19984912940424
KEFE,NVOG,TRUE,TRUE,13223.563,107.7391516815697,287.9705490197039
KEFE,SECO,TRUE,TRUE,36178.697,125.76845946256077,306.30447222043574
KEFE,STAE,TRUE,TRUE,21016.718,193.21636486485053,13.128601924062735
KEFE,SUHS,TRUE,TRUE,21537.986,166.85709858815645,346.9465307664402
KEFE,SVAT,TRUE,TRUE,19178.12,160.38199072423777,340.4996984995082
KEFE,VOGS,TRUE,TRUE,12314.816,155.2124936425823,335.30710878317234
KEFN,KEFS,TRUE,TRUE,12070.976,178.06198238613655,358.0694700849472
KEFN,KEFW,TRUE,TRUE,6700.622,193.0419546540793,13.01416430943678
