  -22.6712   64.0657
  -22.6697   64.0649
  -22.6683   64.0640
  -22.6669   64.0631
  -22.6654   64.0622
  -22.6640   64.0613
  -22.6625   64.0605
  -22.6611   64.0596
  -22.6597   64.0587
  -22.6582   64.0578
  -22.6568   64.0569
  -22.6554   64.0561
  -22.6539   64.0552
  -22.6525   64.0543
  -22.6511   64.0534
  -22.6496   64.0525
  -22.6482   64.0517
  -22.6468   64.0508
  -22.6454   64.0499
  -22.6439   64.0490
  -22.6425   64.0481
  -22.6411   64.0472
  -22.6396   64.0464
  -22.6382   64.0455
  -22.6368   64.0446
  -22.6354   64.0437
  -22.6339   64.0428
  -22.6325   64.0419
  -22.6311   64.0411
  -22.6296   64.0402
  -22.6282   64.0393
  -22.6268   64.0384
  -22.6254   64.0375
  -22.6239   64.0366
  -22.6225   64.0358
  -22.6211   64.0349
  -22.6196   64.0340
  -22.6182   64.0331
  -22.6168   64.0322
  -22.6154   64.0313
  -22.6139   64.0305
  -22.6125   64.0296
  -22.6111   64.0287
  -22.6096   64.0278
  -22.6082   64.0269
  -22.6068   64.0261
  -22.6053   64.0252
  -22.6039   64.0243
  -22.6025   64.0234
  -22.6010   64.0225
  -22.5996   64.0217
  -22.5981   64.0208
  -22.5967   64.0199
  -22.5952   64.0190
  -22.5938   64.0182
  -22.5923   64.0173
  -22.5908   64.0164
  -22.5894   64.0155
  -22.5879   64.0147
  -22.5865   64.0138
  -22.5850   64.0129
  -22.5835   64.0121
  -22.5821   64.0112
  -22.5806   64.0103
  -22.5791   64.0095
  -22.5776   64.0086
  -22.5762   64.0077
  -22.5747   64.0069
  -22.5732   64.0060
  -22.5717   64.0051
  -22.5702   64.0043
  -22.5687   64.0034
  -22.5672   64.0026
  -22.5657   64.0017
  -22.5642   64.0008
  -22.5627   64.0000
  -22.5612   63.9991
  -22.5596   63.9983
  -22.5581   63.9974
  -22.5566   63.9966
  -22.5551   63.9957
  -22.5535   63.9949
  -22.5520   63.9940
  -22.5504   63.9932
  -22.5489   63.9924
  -22.5474   63.9915
  -22.5458   63.9907
  -22.5443   63.9898
  -22.5427   63.9890
  -22.5412   63.9881
  -22.5396   63.9873
  -22.5381   63.9865
  -22.5365   63.9856
  -22.5349   63.9848
  -22.5334   63.9839
  -22.5318   63.9831
  -22.5303   63.9823
  -22.5287   63.9814
  -22.5271   63.9806
  -22.5255   63.9798
  -22.5239   63.9790
  -22.5224   63.9781
